STATE,CONSTITUENCY,CANDIDATE,PARTY,VOTES
UTTAR PRADESH,BALLIA NAGAR,SUNITA DEVI,BAHUJAN MUKTI PARTY,319
UTTAR PRADESH,BALLIA NAGAR,LACHHUMAN,NAITIK PARTY,240
UTTAR PRADESH,BALLIA NAGAR,MADAN LAL VERMA,JAN ADHIKAR PARTY,228
UTTAR PRADESH,BALLIA NAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,1716
UTTAR PRADESH,PHEPHANA,UPENDRA TIWARI,BHARATIYA JANATA PARTY,70588
UTTAR PRADESH,PHEPHANA,AMBIKA CHOUDHARY,BAHUJAN SAMAJ PARTY,52691
UTTAR PRADESH,PHEPHANA,SANGRAM SINGH YADAV,SAMAJWADI PARTY,50016
UTTAR PRADESH,PHEPHANA,SAUDAGAR YADAV,RASHTRIYA LOK DAL,1083
UTTAR PRADESH,PHEPHANA,MATADEEN,JAN ADHIKAR MANCH,628
UTTAR PRADESH,PHEPHANA,RAJU SINGH,INDEPENDENT,500
UTTAR PRADESH,PHEPHANA,USHA RAI,INDEPENDENT,406
UTTAR PRADESH,PHEPHANA,AMRITA DEVI,INDEPENDENT,402
UTTAR PRADESH,PHEPHANA,SATYANAND,BAHUJAN MUKTI PARTY,338
UTTAR PRADESH,PHEPHANA,HARENDRA YADAV,VANCHITSAMAJ INSAAF PARTY,277
UTTAR PRADESH,PHEPHANA,DHIRENDRA KUMAR,INDEPENDENT,245
UTTAR PRADESH,PHEPHANA,NONE OF THE ABOVE,NONE OF THE ABOVE,1473
UTTAR PRADESH,SIKANDERPUR,SANJAY YADAV,BHARATIYA JANATA PARTY,69536
UTTAR PRADESH,SIKANDERPUR,ZIAUDDIN RIZWI,SAMAJWADI PARTY,45988
UTTAR PRADESH,SIKANDERPUR,RAJNARAIN,BAHUJAN SAMAJ PARTY,34968
UTTAR PRADESH,SIKANDERPUR,ARVIND RAI,INDEPENDENT,2936
UTTAR PRADESH,SIKANDERPUR,SATYENDRA YADAV,JAN ADHIKAR PARTY,2260
UTTAR PRADESH,SIKANDERPUR,MUNNA CHAUHAN,INDEPENDENT,2066
UTTAR PRADESH,SIKANDERPUR,SRI RAM CHAUDHARY,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),1365
UTTAR PRADESH,SIKANDERPUR,VINOD TIWARI,INDEPENDENT,1295
UTTAR PRADESH,SIKANDERPUR,BALWANT SINGH YADAV,INDEPENDENT,1058
UTTAR PRADESH,SIKANDERPUR,AJIT KUMAR PANDEY,RASHTRIYA LOK DAL,1038
UTTAR PRADESH,SIKANDERPUR,MUSTAK,BAHUJAN MUKTI PARTY,983
UTTAR PRADESH,SIKANDERPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1122
UTTAR PRADESH,RASARA,UMA SHANKER SINGH,BAHUJAN SAMAJ PARTY,92272
UTTAR PRADESH,RASARA,RAM IQBALL SINGH,BHARATIYA JANATA PARTY,58385
UTTAR PRADESH,RASARA,SANATAN PANDEY,SAMAJWADI PARTY,37006
UTTAR PRADESH,RASARA,RAM JANAM SINGH CHUHAN,NATIONALIST CONGRESS PARTY,1251
UTTAR PRADESH,RASARA,RAMASHRY,INDEPENDENT,690
UTTAR PRADESH,RASARA,BHOLA PRASAD,INDEPENDENT,546
UTTAR PRADESH,RASARA,ARUN KUMAR SINGH CHAUHAN,JAN ADHIKAR PARTY,463
UTTAR PRADESH,RASARA,BANDHU,BAHUJAN MUKTI PARTY,258
UTTAR PRADESH,RASARA,AJAY KUMAR SHARMA,INDEPENDENT,254
UTTAR PRADESH,RASARA,SUNIL,RASHTRIYA JANTANTRIK BHARAT VIKAS PARTY,238
UTTAR PRADESH,RASARA,GEETA,AMBEDKAR SAMAJ PARTY,230
UTTAR PRADESH,RASARA,NONE OF THE ABOVE,NONE OF THE ABOVE,1558
UTTAR PRADESH,BELTHARA ROAD,DHANANJAY KANNOUJIA,BHARATIYA JANATA PARTY,77504
UTTAR PRADESH,BELTHARA ROAD,GORAKH PASWAN,SAMAJWADI PARTY,59185
UTTAR PRADESH,BELTHARA ROAD,GHOORA RAM,BAHUJAN SAMAJ PARTY,47297
UTTAR PRADESH,BELTHARA ROAD,DHEERENDRA KUMAR,RASHTRIYA LOK DAL,1031
UTTAR PRADESH,BELTHARA ROAD,SHIVKUMARI,INDEPENDENT,750
UTTAR PRADESH,BELTHARA ROAD,RAM LAKHAN,INDEPENDENT,488
UTTAR PRADESH,BELTHARA ROAD,BARAKHU RAM,GONDVANA GANTANTRA PARTY,479
UTTAR PRADESH,BELTHARA ROAD,BINDUMATI,INDEPENDENT,477
UTTAR PRADESH,BELTHARA ROAD,TARA DEVI,PURVANCHAL JANTA DAL,255
UTTAR PRADESH,BELTHARA ROAD,SONI,MANAV KRANTI PARTY,233
UTTAR PRADESH,BELTHARA ROAD,RAM SHARIK ADVOCATE,BAHUJAN MUKTI PARTY,229
UTTAR PRADESH,BELTHARA ROAD,PANKAJ,INDEPENDENT,223
UTTAR PRADESH,BELTHARA ROAD,SHAILENDRA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),218
UTTAR PRADESH,BELTHARA ROAD,RAMLAL RAHI,JAN ADHIKAR PARTY,204
UTTAR PRADESH,BELTHARA ROAD,NONE OF THE ABOVE,NONE OF THE ABOVE,1305
UTTAR PRADESH,MAU,MUKHTAR ANSHARI,BAHUJAN SAMAJ PARTY,96793
UTTAR PRADESH,MAU,MAHENDRA RAJBHAR,SUHELDEV BHARTIYA SAMAJ PARTY,88095
UTTAR PRADESH,MAU,ALTAF ANSARI,SAMAJWADI PARTY,72016
UTTAR PRADESH,MAU,RAM SOCH YADAV,COMMUNIST PARTY OF INDIA,1514
UTTAR PRADESH,MAU,MAHFUJURRAHMAN,PEACE PARTY,1301
UTTAR PRADESH,MAU,RAM ASHISH,INDEPENDENT,934
UTTAR PRADESH,MAU,RAMESH SINGH,LOK GATHBANDHAN PARTY,850
UTTAR PRADESH,MAU,HAISAMUDDIN,INDEPENDENT,757
UTTAR PRADESH,MAU,BASANT KUMAR,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),582
UTTAR PRADESH,MAU,LAKHAN,BAHUJAN MUKTI PARTY,349
UTTAR PRADESH,MAU,SHAH ALAM QURESHI,PICHHRAVARG MAHAPANCHAYAT PARTY,332
UTTAR PRADESH,MAU,KAUSHLENDRA PRATAP SINGH,SHIVSENA,291
UTTAR PRADESH,MAU,KANHAIYA,AMBEDKAR SAMAJ PARTY,263
UTTAR PRADESH,MAU,PRAMOD,JAN ADHIKAR PARTY,213
UTTAR PRADESH,MAU,NONE OF THE ABOVE,NONE OF THE ABOVE,1725
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),SHRIRAM SONKAR,BHARATIYA JANATA PARTY,73493
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),RAJENDRA KUMAR,BAHUJAN SAMAJ PARTY,72955
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),BAIJNATH,SAMAJWADI PARTY,59871
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),PRABHU RAM,PICHHRAVARG MAHAPANCHAYAT PARTY,1179
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),SURYABHAN BHASKAR,JAN ADHIKAR PARTY,936
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),FAUJDAR PRASAD,BAHUJAN MUKTI PARTY,768
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),MEENA DEVI,POORVANCHAL PEOPLE'S PARTY,638
UTTAR PRADESH,MUHAMMADABAD- GOHNA (SC),NONE OF THE ABOVE,NONE OF THE ABOVE,1945
UTTAR PRADESH,GHOSI,FAGU CHAUHAN,BHARATIYA JANATA PARTY,88298
UTTAR PRADESH,GHOSI,ABBAS ANSARI,BAHUJAN SAMAJ PARTY,81295
UTTAR PRADESH,GHOSI,SUDHAKAR,SAMAJWADI PARTY,59256
UTTAR PRADESH,GHOSI,VIVEK RAI,COMMUNIST PARTY OF INDIA,2285
UTTAR PRADESH,GHOSI,YOGENDRA,INDEPENDENT,1894
UTTAR PRADESH,GHOSI,DEV PRAKASH,RASHTRIYA LOK DAL,1404
UTTAR PRADESH,GHOSI,VIJAY YADAV,INDEPENDENT,1252
UTTAR PRADESH,GHOSI,SANJAY KUMAR YADAV,INDEPENDENT,1113
UTTAR PRADESH,GHOSI,SANJAY SINGH,INDEPENDENT,914
UTTAR PRADESH,GHOSI,MD. HUSAIN,INDEPENDENT,658
UTTAR PRADESH,GHOSI,CHAKLAL,AMBEDKAR SAMAJ PARTY,635
UTTAR PRADESH,GHOSI,DINANATH CHAUHAN,INDEPENDENT,293
UTTAR PRADESH,GHOSI,RAMPYARE CHAUHAN,BAHUJAN MUKTI PARTY,284
UTTAR PRADESH,GHOSI,DARBARI CHAUHAN,INDEPENDENT,249
UTTAR PRADESH,GHOSI,MOHAN,JAN ADHIKAR PARTY,219
UTTAR PRADESH,GHOSI,NONE OF THE ABOVE,NONE OF THE ABOVE,1585
UTTAR PRADESH,MADHUBAN,DARA SINGH CHAUHAN,BHARATIYA JANATA PARTY,86238
UTTAR PRADESH,MADHUBAN,AMRESH CHAND,INDIAN NATIONAL CONGRESS,56823
UTTAR PRADESH,MADHUBAN,UMESH PANDEY,BAHUJAN SAMAJ PARTY,54803
UTTAR PRADESH,MADHUBAN,RAMKUNWAR SINGH,COMMUNIST PARTY OF INDIA,2363
UTTAR PRADESH,MADHUBAN,BANSHRAJ,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,2290
UTTAR PRADESH,MADHUBAN,RAJU SHARMA,MOST BACKWARD CLASSES OF INDIA,1671
UTTAR PRADESH,MADHUBAN,BHIRGUN,RASHTRIYA LOK DAL,1299
UTTAR PRADESH,MADHUBAN,VIJAYSHANKAR,BAHUJAN MUKTI PARTY,1082
UTTAR PRADESH,MADHUBAN,PAHLAWAN,JAN ADHIKAR PARTY,987
UTTAR PRADESH,MADHUBAN,BHANU PRATAP,POORVANCHAL PEOPLE'S PARTY,863
UTTAR PRADESH,MADHUBAN,RAMESH CHAND PANDEY,INDEPENDENT,751
UTTAR PRADESH,MADHUBAN,RAMPRAVESH,INDEPENDENT,725
UTTAR PRADESH,MADHUBAN,KANHAIYA YADAV,LOK DAL,522
UTTAR PRADESH,MADHUBAN,SHRIKANT YADAV,INDEPENDENT,505
UTTAR PRADESH,MADHUBAN,ANAND KUMAR PANDEY,RASHTRAVYAPI JANTA PARTY,438
UTTAR PRADESH,MADHUBAN,CHANDRIKA PAL,RASHTRIYA SAMAJ PAKSHA,430
UTTAR PRADESH,MADHUBAN,RAGHUBEER YADAV,NATIONALIST CONGRESS PARTY,386
UTTAR PRADESH,MADHUBAN,SURYA KUMAR,INDEPENDENT,370
UTTAR PRADESH,MADHUBAN,DEVENDRA SINGH,SHIVSENA,357
UTTAR PRADESH,MADHUBAN,ASHUTOSH KUMAR VISHVAKARMA,DESHBHAKT NIRMAN PARTY,341
UTTAR PRADESH,MADHUBAN,NARENDRA,AMBEDKAR SAMAJ PARTY,292
UTTAR PRADESH,MADHUBAN,NONE OF THE ABOVE,NONE OF THE ABOVE,683
UTTAR PRADESH,MEHNAGAR,KALPNATH PASWAN,SAMAJWADI PARTY,69037
UTTAR PRADESH,MEHNAGAR,MANJOO SAROJ,SUHELDEV BHARTIYA SAMAJ PARTY,63625
UTTAR PRADESH,MEHNAGAR,VIDHYA CHAUDHARI,BAHUJAN SAMAJ PARTY,60198
UTTAR PRADESH,MEHNAGAR,KARMVEER AZAD,UTTAR PRADESH REPUBLICAN PARTY,1141
UTTAR PRADESH,MEHNAGAR,DULARE,RASHTRIYA LOK DAL,1076
UTTAR PRADESH,MEHNAGAR,RAM BRIKSH,COMMUNIST PARTY OF INDIA (MARXIST),1040
UTTAR PRADESH,MEHNAGAR,RENU DEVI,ASANKHYA SAMAJ PARTY,923
UTTAR PRADESH,MEHNAGAR,PRAKASH CHANDRA,BAHUJAN MUKTI PARTY,913
UTTAR PRADESH,MEHNAGAR,SUMAN,MAHAKRANTI DAL,887
UTTAR PRADESH,MEHNAGAR,SANGITA,PICHHRAVARG MAHAPANCHAYAT PARTY,803
UTTAR PRADESH,MEHNAGAR,NONE OF THE ABOVE,NONE OF THE ABOVE,2492
UTTAR PRADESH,LALGANJ,AZAD ARI MARDAN,BAHUJAN SAMAJ PARTY,72715
UTTAR PRADESH,LALGANJ,DAROGA PRASAD SAROJ,BHARATIYA JANATA PARTY,70488
UTTAR PRADESH,LALGANJ,BECHAI SAROJ,SAMAJWADI PARTY,54196
UTTAR PRADESH,LALGANJ,UMA SHANKAR SONKAR,MAHAKRANTI DAL,1708
UTTAR PRADESH,LALGANJ,RAM CHANDAR,INDEPENDENT,864
UTTAR PRADESH,LALGANJ,SANDEEP,MAHAMUKTI DAL,573
UTTAR PRADESH,LALGANJ,SUNITA BHARTI,BAHUJAN MUKTI PARTY,530
UTTAR PRADESH,LALGANJ,MANTRAJ,NATIONAL DEMOCRATIC FRONT,449
UTTAR PRADESH,LALGANJ,NONE OF THE ABOVE,NONE OF THE ABOVE,2123
UTTAR PRADESH,DIDARGANJ,SUKHDEV RAJBHAR,BAHUJAN SAMAJ PARTY,62125
UTTAR PRADESH,DIDARGANJ,ADIL SHAIKH,SAMAJWADI PARTY,58480
UTTAR PRADESH,DIDARGANJ,KRISHNA MURARI,BHARATIYA JANATA PARTY,49979
UTTAR PRADESH,DIDARGANJ,ARCHANA,INDEPENDENT,6828
UTTAR PRADESH,DIDARGANJ,JASHWANT,MAHAKRANTI DAL,2227
UTTAR PRADESH,DIDARGANJ,RANVIJAY,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,2105
UTTAR PRADESH,DIDARGANJ,RAM SINGH,RASHTRIYA LOK DAL,1064
UTTAR PRADESH,DIDARGANJ,KRISHNA KANT YADAV,ALL INDIA FORWARD BLOC,728
UTTAR PRADESH,DIDARGANJ,SHIVBACHAN,INDEPENDENT,684
UTTAR PRADESH,DIDARGANJ,SUKHNAYAN,JAN SHAKTI EKTA PARTY,537
UTTAR PRADESH,DIDARGANJ,RIZVAN,BHARTIYA SARVODAYA PARTY,367
UTTAR PRADESH,DIDARGANJ,NARENDRA,LOK DAL,364
UTTAR PRADESH,DIDARGANJ,JITENDRA KUMAR,BAHUJAN MUKTI PARTY,278
UTTAR PRADESH,DIDARGANJ,NONE OF THE ABOVE,NONE OF THE ABOVE,1653
UTTAR PRADESH,PHOOLPUR PAWAI,ARUN KUMAR YADAV,BHARATIYA JANATA PARTY,68435
UTTAR PRADESH,PHOOLPUR PAWAI,ABUL QAIS AZMI,BAHUJAN SAMAJ PARTY,61140
UTTAR PRADESH,PHOOLPUR PAWAI,SHYAM BAHADUR SINGH YADAV,SAMAJWADI PARTY,38099
UTTAR PRADESH,PHOOLPUR PAWAI,RAMSURAT,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,4012
UTTAR PRADESH,PHOOLPUR PAWAI,RAMAGYA YADAV,COMMUNIST PARTY OF INDIA,1382
UTTAR PRADESH,PHOOLPUR PAWAI,RAMSINGH YADAV,RASHTRIYA LOK DAL,916
UTTAR PRADESH,PHOOLPUR PAWAI,NESAR AHAMAD,INDEPENDENT,692
UTTAR PRADESH,PHOOLPUR PAWAI,BHANUPRATAP YADAV,MAHAKRANTI DAL,574
UTTAR PRADESH,PHOOLPUR PAWAI,ABUSHAD QURAISHI,INDEPENDENT,415
UTTAR PRADESH,PHOOLPUR PAWAI,GHANSHYAM,INDEPENDENT,389
UTTAR PRADESH,PHOOLPUR PAWAI,REETA MAURYA,ASANKHYA SAMAJ PARTY,316
UTTAR PRADESH,PHOOLPUR PAWAI,MO. MAJKKIR,BAHUJAN MUKTI PARTY,251
UTTAR PRADESH,PHOOLPUR PAWAI,ACHCHELAL,INDEPENDENT,225
UTTAR PRADESH,PHOOLPUR PAWAI,NONE OF THE ABOVE,NONE OF THE ABOVE,1609
UTTAR PRADESH,NIZAMABAD,ALAMBADI,SAMAJWADI PARTY,67274
UTTAR PRADESH,NIZAMABAD,CHANDRA DEV RAM,BAHUJAN SAMAJ PARTY,48745
UTTAR PRADESH,NIZAMABAD,VINOD KUMAR RAI,BHARATIYA JANATA PARTY,43786
UTTAR PRADESH,NIZAMABAD,JITENDRA,COMMUNIST PARTY OF INDIA,1366
UTTAR PRADESH,NIZAMABAD,HARIDAS,INDEPENDENT,861
UTTAR PRADESH,NIZAMABAD,RAJNET YADAV,INDEPENDENT,656
UTTAR PRADESH,NIZAMABAD,RAJKUMAR,INDEPENDENT,651
UTTAR PRADESH,NIZAMABAD,JAI JAI RAM,PICHHRAVARG MAHAPANCHAYAT PARTY,651
UTTAR PRADESH,NIZAMABAD,YATINJAY RAJ,NATIONALIST CONGRESS PARTY,538
UTTAR PRADESH,NIZAMABAD,BABLU,INDEPENDENT,443
UTTAR PRADESH,NIZAMABAD,RAM NAYAN CHAUHAN,BAHUJAN MUKTI PARTY,406
UTTAR PRADESH,NIZAMABAD,JAI RAM SONKAR,INDEPENDENT,257
UTTAR PRADESH,NIZAMABAD,RAMKESH,MAHAKRANTI DAL,241
UTTAR PRADESH,NIZAMABAD,DINESH,ASANKHYA SAMAJ PARTY,182
UTTAR PRADESH,NIZAMABAD,NALINIKANT,RASHTRAVYAPI JANTA PARTY,175
UTTAR PRADESH,NIZAMABAD,NONE OF THE ABOVE,NONE OF THE ABOVE,1243
UTTAR PRADESH,AZAMGARH,DURGA PRASAD,SAMAJWADI PARTY,88087
UTTAR PRADESH,AZAMGARH,AKHILESH,BHARATIYA JANATA PARTY,61825
UTTAR PRADESH,AZAMGARH,BHUPENDRA,BAHUJAN SAMAJ PARTY,58185
UTTAR PRADESH,AZAMGARH,PATIRAM,RASHTRIYA LOK DAL,1345
UTTAR PRADESH,AZAMGARH,PRIYANKA CHAUHAN,BAHUJAN MUKTI PARTY,1061
UTTAR PRADESH,AZAMGARH,MANJAY,JAN ADHIKAR PARTY,792
UTTAR PRADESH,AZAMGARH,BHOLA,RASHTRAWADI JANWADI MANCH,519
UTTAR PRADESH,AZAMGARH,NONE OF THE ABOVE,NONE OF THE ABOVE,2134
UTTAR PRADESH,MUBARAKPUR,SHAH ALAM URF GUDDU JAMALI,BAHUJAN SAMAJ PARTY,70705
UTTAR PRADESH,MUBARAKPUR,AKHILESH YADAV,SAMAJWADI PARTY,70017
UTTAR PRADESH,MUBARAKPUR,LUXMAN MOURYA,BHARATIYA JANATA PARTY,44489
UTTAR PRADESH,MUBARAKPUR,AVINASH YADAV,PEACE PARTY,1697
UTTAR PRADESH,MUBARAKPUR,RAMHARSH,COMMUNIST PARTY OF INDIA,1061
UTTAR PRADESH,MUBARAKPUR,RAMESH RAJBHAR,INDEPENDENT,957
UTTAR PRADESH,MUBARAKPUR,TEJBAHADUR SINGH,RASHTRIYA LOK DAL,687
UTTAR PRADESH,MUBARAKPUR,NIRMAL YADAV,BAHUJAN MUKTI PARTY,516
UTTAR PRADESH,MUBARAKPUR,HARIVANS MISHRA,SHIVSENA,433
UTTAR PRADESH,MUBARAKPUR,AFTAB QAMAR ANSARI,ISLAM PARTY HIND,410
UTTAR PRADESH,MUBARAKPUR,TRILOKI,INDEPENDENT,391
UTTAR PRADESH,MUBARAKPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1628
UTTAR PRADESH,SAGRI,BANDANA SINGH,BAHUJAN SAMAJ PARTY,62203
UTTAR PRADESH,SAGRI,JAIRAM PATEL,SAMAJWADI PARTY,56728
UTTAR PRADESH,SAGRI,DEVENDRA KUMAR SINGH,BHARATIYA JANATA PARTY,40786
UTTAR PRADESH,SAGRI,GOPAL NISHAD,INDEPENDENT,5876
UTTAR PRADESH,SAGRI,RITU KHARE,NIRBAL INDIAN SHOSHIT HAMARA AAM DAL,2427
UTTAR PRADESH,SAGRI,VIJAY KUMAR GOND,INDEPENDENT,1716
UTTAR PRADESH,SAGRI,SANJAY RAI,RASHTRAVYAPI JANTA PARTY,1515
UTTAR PRADESH,SAGRI,ANURAG YADAV,NATIONALIST CONGRESS PARTY,1474
UTTAR PRADESH,SAGRI,SHREEKANT SINGH,COMMUNIST PARTY OF INDIA,1269
UTTAR PRADESH,SAGRI,DAYA SHANKAR BHATT,RASHTRIYA LOK DAL,982
UTTAR PRADESH,SAGRI,RANAJEET SINGH ALIAS KAVIJI,APNA DAL,581
UTTAR PRADESH,SAGRI,DHANESH YADAV,LOK DAL,544
UTTAR PRADESH,SAGRI,AJAY KUMAR GAUTAM,INDEPENDENT,539
UTTAR PRADESH,SAGRI,AWADHESH GAUTAM,PICHHRAVARG MAHAPANCHAYAT PARTY,539
UTTAR PRADESH,SAGRI,RAJESH KUMAR YADAV,BAHUJAN MUKTI PARTY,527
UTTAR PRADESH,SAGRI,RADHEY SHYAM YADAV,HAMARI APNI PARTY,455
UTTAR PRADESH,SAGRI,NONE OF THE ABOVE,NONE OF THE ABOVE,964
UTTAR PRADESH,GOPALPUR,NAFEES AHMAD,SAMAJWADI PARTY,70980
UTTAR PRADESH,GOPALPUR,SHRIKRISHNA PAL,BHARATIYA JANATA PARTY,56020
UTTAR PRADESH,GOPALPUR,KAMLA PRASAD YADAV,BAHUJAN SAMAJ PARTY,54271
UTTAR PRADESH,GOPALPUR,IMTEYAZ BEG,COMMUNIST PARTY OF INDIA,2351
UTTAR PRADESH,GOPALPUR,CHANDRMOHAN,RASHTRIYA LOK DAL,1117
UTTAR PRADESH,GOPALPUR,ANIRUDDHA RAM PASI,ASANKHYA SAMAJ PARTY,742
UTTAR PRADESH,GOPALPUR,MUNNA LAL,INDEPENDENT,592
UTTAR PRADESH,GOPALPUR,RAJARAM YADAV,BAHUJAN MUKTI PARTY,529
UTTAR PRADESH,GOPALPUR,HAUSHILA,PICHHRAVARG MAHAPANCHAYAT PARTY,442
UTTAR PRADESH,GOPALPUR,VEENA,BHARATIYA BAHUJAN PARIVARTAN PARTY,385
UTTAR PRADESH,GOPALPUR,HARIHAR PRASAD PANDEY,FEDERAL DEMOCRATIC PARTY,350
UTTAR PRADESH,GOPALPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1521
UTTAR PRADESH,ATRAULIYA,DR.SANGRAM YADAV,SAMAJWADI PARTY,74276
UTTAR PRADESH,ATRAULIYA,KANHAIYA LAL NISHAD,BHARATIYA JANATA PARTY,71809
UTTAR PRADESH,ATRAULIYA,AKHAND PRATAP SINGH,BAHUJAN SAMAJ PARTY,56536
UTTAR PRADESH,ATRAULIYA,TRILOKI NATH,COMMUNIST PARTY OF INDIA,2730
UTTAR PRADESH,ATRAULIYA,HARISHCHAND,RASHTRIYA LOK DAL,953
UTTAR PRADESH,ATRAULIYA,VIDESHI,INDEPENDENT,813
UTTAR PRADESH,ATRAULIYA,LAUTAN,BHARATIYA SUBHASH SENA,448
UTTAR PRADESH,ATRAULIYA,LAXMI PRASAD,INDEPENDENT,404
UTTAR PRADESH,ATRAULIYA,ANANT PRASAD,BAHUJAN MUKTI PARTY,377
UTTAR PRADESH,ATRAULIYA,SHRAVAN,RASHTRIYA MAHAN GANTANTRA PARTY,369
UTTAR PRADESH,ATRAULIYA,RAMKRIPAL,FEDERAL DEMOCRATIC PARTY,317
UTTAR PRADESH,ATRAULIYA,YADUNATH,ASANKHYA SAMAJ PARTY,198
UTTAR PRADESH,ATRAULIYA,NONE OF THE ABOVE,NONE OF THE ABOVE,1980
UTTAR PRADESH,BARHAJ,SURESH TIWARI,BHARATIYA JANATA PARTY,61996
UTTAR PRADESH,BARHAJ,MURLI MANOHAR JAISWAL,BAHUJAN SAMAJ PARTY,50280
UTTAR PRADESH,BARHAJ,PURNENDU TIWARI URF P.D.TIWARI,SAMAJWADI PARTY,27761
UTTAR PRADESH,BARHAJ,GIRENDRA PRATAP YADAV,INDEPENDENT,18489
UTTAR PRADESH,BARHAJ,JAI PRAKASH KUSHWAHA,COMMUNIST PARTY OF INDIA,2106
UTTAR PRADESH,BARHAJ,DR. CHATURANAN OJHA,INDEPENDENT,1277
UTTAR PRADESH,BARHAJ,SURESH SINGH YADAV,RASHTRIYA LOK DAL,1002
UTTAR PRADESH,BARHAJ,JAI PRAKASH URF SWAMIJI,BHARTIYA SHAKTI CHETNA PARTY,821
UTTAR PRADESH,BARHAJ,BIJAI SHANKAR SINGH KAUSHIK,HINDUSTAN JANMORCHA,793
UTTAR PRADESH,BARHAJ,CHHOTELAL TIWARI,SARV SAMBHAAV PARTY,787
UTTAR PRADESH,BARHAJ,HAREKRISHAN SINGH VISHEN,SAMAJWADI SAMAJ PARTY,787
UTTAR PRADESH,BARHAJ,KLECTOR SHARMA,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),459
UTTAR PRADESH,BARHAJ,RAJESH KUMAR YADAV,MAHAKRANTI DAL,371
UTTAR PRADESH,BARHAJ,RAIN MISHRA URF DIMPU,MANUVADI PARTY,361
UTTAR PRADESH,BARHAJ,NONE OF THE ABOVE,NONE OF THE ABOVE,1338
UTTAR PRADESH,SALEMPUR,KALI PRASAD,BHARATIYA JANATA PARTY,76175
UTTAR PRADESH,SALEMPUR,VIJAY LAXMI GAUTAM,SAMAJWADI PARTY,50521
UTTAR PRADESH,SALEMPUR,RANVIJAY,BAHUJAN SAMAJ PARTY,28152
UTTAR PRADESH,SALEMPUR,SATISH KUMAR,COMMUNIST PARTY OF INDIA (MARXIST),2280
UTTAR PRADESH,SALEMPUR,RAMKRIPAL,INDEPENDENT,1055
UTTAR PRADESH,SALEMPUR,MUNNILAL PASWAN,PEACE PARTY,812
UTTAR PRADESH,SALEMPUR,RAMESH CHANDA SAHANI,JAN ADHIKAR PARTY,661
UTTAR PRADESH,SALEMPUR,ARUN KUMAR,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),441
UTTAR PRADESH,SALEMPUR,CHANDESHWAR,BAHUJAN MUKTI PARTY,373
UTTAR PRADESH,SALEMPUR,NONE OF THE ABOVE,NONE OF THE ABOVE,1951
UTTAR PRADESH,BHATPAR RANI,ASHUTOSH,SAMAJWADI PARTY,61862
UTTAR PRADESH,BHATPAR RANI,JAYNATH KUSHWAHA URF GUDDAN,BHARATIYA JANATA PARTY,50765
UTTAR PRADESH,BHATPAR RANI,SABHAKUNWAR,BAHUJAN SAMAJ PARTY,44161
UTTAR PRADESH,BHATPAR RANI,ASHWANI KUMAR SINGH,INDEPENDENT,13497
UTTAR PRADESH,BHATPAR RANI,RAM PRAVESH YADAV,INDEPENDENT,1421
UTTAR PRADESH,BHATPAR RANI,BASADEV,RASHTRIYA LOK DAL,1223
UTTAR PRADESH,BHATPAR RANI,SANTOSH KUMAR,INDEPENDENT,1122
UTTAR PRADESH,BHATPAR RANI,DAYANAND,APNA DAL UNITED PARTY,1023
UTTAR PRADESH,BHATPAR RANI,JITENDRA,INDEPENDENT,949
UTTAR PRADESH,BHATPAR RANI,MAHESH,INDEPENDENT,917
UTTAR PRADESH,BHATPAR RANI,SADHUSARAN,COMMUNIST PARTY OF INDIA (MARXIST),860
UTTAR PRADESH,BHATPAR RANI,AMARNATH,COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION),580
UTTAR PRADESH,BHATPAR RANI,VINDYACHAL,REPUBLICAN PARTY OF INDIA,561
UTTAR PRADESH,BHATPAR RANI,BHARTENDU URF MARTAND,NAITIK PARTY,485
UTTAR PRADESH,BHATPAR RANI,NONE OF THE ABOVE,NONE OF THE ABOVE,2039
UTTAR PRADESH,RAMPUR KARKHANA,KAMLESH SHUKLA,BHARATIYA JANATA PARTY,62886
UTTAR PRADESH,RAMPUR KARKHANA,FASIHA MANZER GHAZALA LARI,SAMAJWADI PARTY,52899
